id_question,question,option1,option2,option3,option4,option5,option6,label,level
51227_2,"توفي عن: زوجة وولدين وأربع بنات
ما نصيب الولدين والبنات؟",A) الثمن,B) السدس,C) الربع,D) الثلثان,E) النصف,F) ما بقي بعد فرض الزوجة يقسم بين الولدين والبنات للذكر مثل حظ الأنثيين,F,Beginner
168023_8,"توفي عن ابن (1) وأب (1) وأخ شقيق (1) وعم (شقيق للأب) (1) وابن عم شقيق (3) وأم (1) وبنت (1) وزوجة (1)
كم عدد سهام الأب؟",A) 4,B) 9,C) 12,D) 13,E) 24,F) 26,C,Advanced
304846_2,"توفي عن زوجة، وأربع بنات، وبنت ابنه، وأخوه.
ما نصيب البنات الأربع من تركة أبيهن؟",A) النصف,B) الثلث,C) الثلثان,D) الربع,E) السدس,F) الباقي تعصيبا,C,Beginner
191499_6,"توفي عن أم وبنت (العدد 3) وبنت ابن (العدد 1) وزوجة (العدد 1) وأخت شقيقة (العدد 3) وأخت من الأب (العدد 1) وأخ من الأب (العدد 4) وابن أخ شقيق (العدد 10) وابن أخ من الأب (العدد 6) وعم أخ للأب من الأب (العدد 5).
كم عدد الأسهم التي تحصل عليها الأم؟",A) 3 أسهم,B) 9 أسهم,C) 12 سهماً,D) 16 سهماً,E) 48 سهماً,F) 72 سهماً,C,Intermediate
43523_6,توفي عن زوجة وأربعة أبناء ذكور وخمس بنات ولديه بيوت مؤجرة، تريد البنات الخمس حقهم من ميراث العمارة (بالبيع)ويرفض الأبناء الذكور ذلك بحجة الايجار: إذا كان عقد الإيجار بين الأب وأحد الأبناء لم يحدد بمدة معلومة، فما حكم هذا العقد شرعاً؟,A) العقد صحيح ونافذ.,B) العقد صحيح ولكنه يتوقف على موافقة الورثة.,C) العقد صحيح ولكنه يفسخ بوفاة الأب.,D) العقد مفسوخ شرعاً.,E) العقد صحيح ولكنه يجب إعادة تحديد المدة بالاتفاق مع الورثة.,F) لا يمكن تحديد حكم العقد بناءً على المعلومات المتوفرة.,D,Beginner
127043_5,توفي عن زوجة، وأربعة إخوة أشقاء، وأربع أخوات شقيقات. كم عدد أسهم كل أخت شقيقة من أصل ستة عشر سهماً؟,A) سهم واحد,B) سهمان,C) ثلاثة أسهم,D) أربعة أسهم,E) خمسة أسهم,F) ستة أسهم,A,Intermediate
153043_4,توفي عن ورثة لديهم أراض ومبان وأموال ويرغبون في تقسيمها بالتراضي، واتفقوا على قسمة يصيب فيها أحد الورثة غبن (أقل من حصته الشرعية): ما هو الشرط لصحة هذه القسمة بالنسبة للوارث الذي أصابه الغبن؟,A) أن يكون قاصراً,B) أن يكون بالغاً رشداً,C) أن يكون ذكراً,D) أن يكون أنثى,E) أن يكون هو من اقترح القسمة,F) أن يكون الغبن بسيطاً,B,Beginner
292456_11,"توفيت عن: 2 ابن، أب، زوج، أم، 3 بنت.
كم عدد أسهم الأولاد (الابنين والبنات الثلاث) من أربعة وثمانين سهما؟",A) 25,B) 30,C) 35,D) 40,E) 45,F) 50,C,Intermediate
414625_1,توفي عن والدة، ولدين شقيقين، بنت شقيقة، بنتين غير شقيقتين. التركة عبارة عن منزل. ما هو النصيب النهائي لكل وارث من التركة؟,A) الأم: السدس، ولدان شقيقان: الباقي تعصيبا، بنت شقيقة: الباقي تعصيبا، بنتان غير شقيقتين: لا شيء.,B) الأم: الثمن، ولدان شقيقان: النصف، بنت شقيقة: الربع، بنتان غير شقيقتين: الثمن.,C) الأم: السدس، ولدان شقيقان: الباقي تعصيبا، بنت شقيقة: الباقي تعصيبا، بنتان غير شقيقتين: الثلثان.,D) الأم: غير مذكور في النص، ولدان شقيقان: غير مذكور في النص، بنت شقيقة: غير مذكور في النص، بنتان غير شقيقتين: لهما الحق في المطالبة بنصيبهما في البيت.,E) الأم: الثمن، ولدان شقيقان: الباقي تعصيبا، بنت شقيقة: الباقي تعصيبا، بنتان غير شقيقتين: النصف.,F) الأم: السدس، ولدان شقيقان: النصف، بنت شقيقة: الربع، بنتان غير شقيقتين: الباقي.,D,Advanced
126401_2,"توفي عن: 3 أخ شقيق، 6 ابن أخ شقيق، 4 عم شقيق للأب، 8 ابن عم شقيق، 3 بنت، 1 زوجة، 1 جدة-أم الأم، 6 أخت شقيقة.
ما نصيب البنات؟",A) النصف,B) الربع,C) الثلث,D) الثلثان,E) السدس,F) لا يرثن,D,Beginner
69756_1,توفيت عن بنت وزوج وجد، ما هو النصيب النهائي لكل وارث من التركة؟,A) البنت: النصف، الزوج: النصف، الجد: لا شيء.,B) البنت: النصف، الزوج: الربع، الجد: الباقي.,C) البنت: النصف، الزوج: الثمن، الجد: الباقي.,D) البنت: الثلثان، الزوج: الربع، الجد: الباقي.,E) البنت: النصف، الزوج: الربع، الجد: السدس.,F) البنت: النصف، الزوج: الربع، الجد: لا شيء.,B,Advanced
275542_9,توفي عن: 4 أبناء، 3 بنات: في حال أن الأب جعل الأولاد المشاركين في البناء شركاء له في الأرض التي بنيت عليها المحلات، وتم تقسيم المحلات بأرضها، فكم عدد الأسهم التي تمثل حصة الابن المشارك في البناء من المحلات بأرضها؟,A) سهم واحد,B) سهمان,C) ثلاثة أسهم,D) أربعة أسهم,E) خمسة أسهم,F) ستة أسهم,B,Intermediate
114093_1,توفي جد عن ولدين لابنه المتوفى وبنتين لابنه المتوفى. إذا ورث الأحفاد، فما هو نصيبهم من التركة إذا كان هناك أصحاب فروض؟,A) السدس,B) الثلث,C) النصف,D) الربع,E) ما بقي بعد أصحاب الفروض,F) جميع التركة,E,Beginner
51677_10,توفي عن أم وثلاثة ذكور وثمان بنات: ما نصيب الأم من التركة البالغة قيمتها 107500 دينار ليبي إذا كانت الأم المذكورة هي أم المتوفى؟,A) ثلاثة عشر ألف دينار وأربعمائة وسبعة وثلاثون ديناراً ونصف دينار,B) ستة آلاف وسبعمائة وثمانية عشر ديناراً وثلاثة أرباع دينار,C) اثنا عشر ألف دينار وسبعمائة وسبعة وتسعون ديناراً وثلثا دينار,D) سبعة عشر ألف دينار وتسعمائة وستة عشر ديناراً وثلثا دينار,E) خمسة آلاف دينار,F) عشرة آلاف دينار,D,Beginner
229612_1,"توفي عن 5 أبناء و 3 بنات و 2 زوجة.
ما هو نصيب الزوجتين مع وجود الفرع الوارث؟",A) الربع,B) الثمن,C) السدس,D) النصف,E) الثلث,F) الربع فرضا والباقي تعصيبا,B,Beginner
